event_time,news_id,score_0,score_1,score_2,score_3,score_4,score_5,north,south,east,west
1596535680,9722,30,70,20,50,60,100,33.9,33.86,35.53,35.49
1608220800,9765,50,70,30,40,80,100,22.5,18.0,40.0,38.0
1609430400,2458,0,70,20,0,10,70,25.2,25.1,121.8,121.7
1609439900,2460,40,30,10,50,60,50,18.52,18.32,-93.1,-93.3
1609516800,2440,10,50,0,0,30,100,-10.0,-35.0,120.0,80.0
1609556266,2451,20,60,30,40,70,80,24.48,24.44,118.1,118.06
1609617440,2456,70,40,50,80,90,75,30.5,29.5,121.8,120.9
1609621437,2455,10,10,0,0,50,20,33.6,33.5,-7.5,-7.6
1609692300,2454,65,50,30,0,75,60,-4.76,-4.78,11.85,11.83
1609754400,2437,75,90,30,95,85,100,21.95,21.85,108.65,108.55
1609794819,2452,40,10,0,0,75,80,35.28,34.28,-168.38,-170.38
1609948800,2450,40,70,10,60,80,20,28.11,28.09,-15.69,-15.71
1610062138,2449,0,75,0,0,10,80,40.86,40.84,29.33,29.31
1610078400,2448,30,70,20,10,60,75,-32.747,-32.748,-60.736,-60.737
1610208000,2446,40,20,0,50,70,30,43.1,42.9,-9.1,-9.3
1610338441,2445,10,50,10,30,50,90,30.4,30.2,32.4,32.2
1610354563,2444,70,50,30,80,60,90,10.62,10.42,124.13,123.93
1610467200,2432,0,70,0,0,0,100,-34.5784,-34.6355,-58.3624,-58.4691
1610553600,2442,60,30,10,0,80,50,4.8247,3.8247,7.5336,6.5336
1610553600,2438,10,30,0,0,50,75,5.0,4.0,-6.0,-7.0
1610746407,2436,80,75,60,70,90,85,60.0,40.0,165.0,130.0
1610812800,2423,70,20,30,80,90,85,22.0,20.5,-157.0,-159.0
1610855734,2433,70,70,30,60,80,70,41.7,41.5,32.4,32.2
1610876381,9763,20,50,10,30,70,60,53.5396,53.0793,8.8017,8.5805
1610877600,2428,50,30,20,70,80,70,5.13,4.93,118.44,118.24
1610949157,2429,60,50,20,70,80,90,23.7,23.6,119.6,119.5
1610961127,2427,30,50,10,10,70,70,19.0,18.4,122.5,121.5
1610985600,2410,10,15,0,5,20,0,-16.5,-16.7,146.0,145.5
1611012678,2426,40,70,10,60,80,65,5.43,5.23,103.24,103.04
1611072000,2421,60,50,30,70,80,70,-2.5,-3.5,108.5,107.5
1611091946,9760,10,75,10,10,60,90,61.13,61.12,-146.34,-146.35
1611138600,2422,10,70,20,50,60,30,-38.0,-38.1,-57.5,-57.6
1611288029,2418,10,50,0,20,30,70,53.0,52.5,159.5,158.5
1611291855,2417,20,50,10,50,70,20,40.65,40.63,-8.7,-8.75
1611305392,2416,70,80,40,90,85,75,-30.0,-30.1,-51.2,-51.3
1611331200,2413,70,40,30,60,75,80,6.5,6.3,81.9,81.6
1611351600,2415,75,60,10,0,95,80,1.8244,0.0,6.073,4.073
1611378270,2414,10,50,30,10,70,60,44.3167,44.2833,8.5,8.4667
1611417600,2401,50,75,10,0,20,100,44.0,43.0,-7.5,-9.5
1611477708,2412,60,30,40,70,80,50,25.6,25.4,55.7,55.5
1611521926,2411,75,60,20,60,85,90,12.5,9.0,-71.0,-80.0
1611546513,2407,70,80,40,60,50,90,42.71,42.68,9.46,9.43
1611557791,2409,70,60,30,75,85,90,38.85,38.75,20.75,20.65
1611689387,2406,70,30,20,60,80,70,40.0,30.0,-150.0,-160.0
1611726348,2382,10,60,30,50,70,20,53.55,53.5,10.05,9.9
